Id;Default
222;MC_SetKinTransform
1083;MC_TrackConveyorBelt
882;MC_TrackRotaryTable
1364;MC_UngroupAllAxes
32;MovementId
185;MovementType
333;mvtIdInterruptPosition
2365;noPredictionRequired
798;NumAxes
1221;numSlowDownLowIpoQueue
512;numTimeBudgetExceeded
776;OrientationMode
817;PathAccFactor
428;PathChoice
818;PathJerkFactor
816;PathVelFactor
832;Position.v[0]
190;Position.v[1]
191;Position.v[2]
192;Position.v[3]
200;Position.v[4]
201;Position.v[5]
1390;PositionOut.v[0]
1399;PositionOut.v[1]
1408;PositionOut.v[2]
1417;PositionOut.v[3]
1426;PositionOut.v[4]
1435;PositionOut.v[5]
421;Relative
908;RotaryTableOrigin.A
914;RotaryTableOrigin.B
921;RotaryTableOrigin.C
888;RotaryTableOrigin.X
895;RotaryTableOrigin.Y
901;RotaryTableOrigin.Z
772;SMC_GroupConvertPosition
1387;SMC_GroupEnableResumeAfterError
402;SMC_GroupGetContinuePosition
1400;SMC_GroupInterruptAt
1000;SMC_GroupJog
965;SMC_GroupJog2
1663;SMC_GroupPower
509;SMC_GroupReadPlanningStatistics
234;SMC_GroupReadSetAcceleration
450;SMC_GroupReadSetPosition
668;SMC_GroupReadSetVelocity
952;SMC_GroupSetAncillaryAxisLimits
308;SMC_GroupSetAncillaryPathLimits
1019;SMC_GroupTargetPosition
897;SMC_GroupUpdate
2202;SMC_GroupWait
2345;SMC_SetDynCoordTransformEx
235;SMC_SetKinConfiguration
25;SMC_SetMovementQueueBuffer
2310;SMC_TuneCPKernel
1859;Stable
1689;Status
2355;StrInstancePath
1381;ToolOffset
50;TrackingDynamicCS
432;TransitionMode
433;TransitionParameter[0]
775;TransitionParameter[1]
1373;UseToolOffsetParameter
248;Valid
815;VelFactor
429;Velocity
853;Velocity.v[0]
854;Velocity.v[1]
855;Velocity.v[2]
688;Velocity.v[3]
689;Velocity.v[4]
690;Velocity.v[5]
2212;WaitTime
